City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
332,druzhba,0,UA,1571089721,50,49.36,25.65,12.78,1.453
333,foz,29,ES,1571089729,1,43.57,-7.26,13.33,1.34
334,mehamn,90,NO,1571089738,92,71.03,27.85,1.0,4.1
335,moussoro,0,TD,1571089746,41,13.64,16.49,32.81,6.457
336,severo-yeniseyskiy,100,RU,1571089755,95,60.37,93.04,3.86,3.103
337,burdur,0,TR,1571089763,43,37.72,30.29,14.0,1.0
338,tamiahua,84,MX,1571089772,74,21.28,-97.45,26.5,2.572
339,anzio,70,IT,1571089780,82,41.45,12.63,20.0,0.5
340,gubkinskiy,100,RU,1571089790,93,64.43,76.5,5.8,4.942
341,bafra,40,TR,1571089798,93,41.57,35.91,13.0,2.1
342,bernalillo,1,US,1571089807,16,35.3,-106.55,25.0,8.7
343,luena,100,AO,1571089816,86,-11.78,19.91,18.34,1.91
344,portland,75,US,1571089824,87,43.66,-70.25,15.56,2.1
345,punta de piedra,74,VE,1571089833,72,7.62,-71.49,30.29,0.898
346,kedrovyy,100,RU,1571089842,64,56.17,91.82,7.02,3.932
347,sept-iles,90,CA,1571089851,93,50.2,-66.38,9.44,6.7
348,moron,15,HT,1571089859,67,18.56,-74.26,28.79,1.524
349,changji,36,CN,1571089867,64,32.07,116.17,12.98,3.763
350,atasu,100,KZ,1571089876,82,48.68,71.64,8.7,10.9
351,severo-kurilsk,100,RU,1571089884,93,50.68,156.12,0.71,2.115
352,raudeberg,90,NO,1571089893,71,61.99,5.14,10.0,3.6
353,katrineholm,100,SE,1571089902,100,59.0,16.21,8.0,1.0
354,pringsewu,90,ID,1571089910,98,-5.36,104.98,20.58,1.024
355,moroni,40,GR,1571089919,88,35.09,24.92,18.0,2.1
356,carnarvon,0,ZA,1571089927,30,-30.97,22.13,15.01,5.035
357,san cristobal,98,HN,1571089936,89,14.68,-86.92,22.18,0.49
358,sars,92,RU,1571089944,89,56.55,57.14,4.5,5.826
359,iacu,22,BR,1571089953,66,-12.77,-40.21,21.95,5.586
360,rawson,0,AR,1571089961,71,-43.3,-65.11,7.61,7.943
361,tula,100,RU,1571089969,79,54.19,37.62,14.05,7.401
362,sechura,96,PE,1571089978,82,-5.56,-80.82,17.45,5.658
